ID_number,RawData_file,First3,Breedcode,Chip,Region,Country
100002000,genos_100.txt,100,100,55k,GB,Scotland
100002290,genos_100.txt,100,100,55k,GB,Scotland
100002420,genos_100.txt,100,100,55k,GB,Scotland
100002460,genos_100.txt,100,100,55k,GB,Scotland
100002480,genos_100.txt,100,100,55k,GB,Scotland
100002540,genos_100.txt,100,100,55k,GB,Scotland
100002560,genos_100.txt,100,100,55k,GB,Scotland
100002570,genos_100.txt,100,100,55k,GB,Scotland
100002630,genos_100.txt,100,100,55k,GB,Scotland
100002670,genos_100.txt,100,100,55k,GB,Scotland
100002720,genos_100.txt,100,100,55k,GB,Scotland
100002830,genos_100.txt,100,100,55k,GB,Scotland
100002960,genos_100.txt,100,100,55k,GB,Scotland
100003020,genos_100.txt,100,100,55k,GB,Scotland
100008080,genos_100.txt,100,100,55k,GB,Scotland
100018220,genos_100.txt,100,100,55k,GB,Scotland
100020210,genos_100.txt,100,100,55k,GB,Scotland
100020270,genos_100.txt,100,100,55k,GB,Scotland
100020430,genos_100.txt,100,100,55k,GB,Scotland
100020700,genos_100.txt,100,100,55k,GB,Scotland
100020720,genos_100.txt,100,100,55k,GB,Scotland
100022000,genos_100.txt,100,100,55k,GB,Scotland
100022140,genos_100.txt,100,100,55k,GB,Scotland
100022160,genos_100.txt,100,100,55k,GB,Scotland
100022220,genos_100.txt,100,100,55k,GB,Scotland
100022240,genos_100.txt,100,100,55k,GB,Scotland
100022260,genos_100.txt,100,100,55k,GB,Scotland
100022320,genos_100.txt,100,100,55k,GB,Scotland
100022360,genos_100.txt,100,100,55k,GB,Scotland
100022470,genos_100.txt,100,100,55k,GB,Scotland
100022490,genos_100.txt,100,100,55k,GB,Scotland
100023200,genos_100.txt,100,100,55k,GB,Scotland
100023440,genos_100.txt,100,100,55k,GB,Scotland
100023480,genos_100.txt,100,100,55k,GB,Scotland
100023570,genos_100.txt,100,100,55k,GB,Scotland
100023640,genos_100.txt,100,100,55k,GB,Scotland
100023660,genos_100.txt,100,100,55k,GB,Scotland
100023700,genos_100.txt,100,100,55k,GB,Scotland
100023750,genos_100.txt,100,100,55k,GB,Scotland
100023780,genos_100.txt,100,100,55k,GB,Scotland
100023790,genos_100.txt,100,100,55k,GB,Scotland
100023830,genos_100.txt,100,100,55k,GB,Scotland
100023850,genos_100.txt,100,100,55k,GB,Scotland
100023880,genos_100.txt,100,100,55k,GB,Scotland
100023990,genos_100.txt,100,100,55k,GB,Scotland
100024030,genos_100.txt,100,100,55k,GB,Scotland
100024040,genos_100.txt,100,100,55k,GB,Scotland
100024050,genos_100.txt,100,100,55k,GB,Scotland
100030440,genos_100.txt,100,100,55k,GB,Scotland
100030550,genos_100.txt,100,100,55k,GB,Scotland
100030980,genos_100.txt,100,100,55k,GB,Scotland
100044250,genos_100.txt,100,100,55k,GB,Scotland
100044350,genos_100.txt,100,100,55k,GB,Scotland
100044460,genos_100.txt,100,100,55k,GB,Scotland
100044830,genos_100.txt,100,100,55k,GB,Scotland
100044850,genos_100.txt,100,100,55k,GB,Scotland
100045730,genos_100.txt,100,100,55k,GB,Scotland
100046090,genos_100.txt,100,100,55k,GB,Scotland
100046590,genos_100.txt,100,100,55k,GB,Scotland
100046860,genos_100.txt,100,100,55k,GB,Scotland
100047800,genos_100.txt,100,100,55k,GB,Scotland
100063100,genos_100.txt,100,100,55k,GB,Scotland
100071410,genos_100.txt,100,100,55k,GB,Scotland
100071420,genos_100.txt,100,100,55k,GB,Scotland
100071430,genos_100.txt,100,100,55k,GB,Scotland
100071480,genos_100.txt,100,100,55k,GB,Scotland
100071550,genos_100.txt,100,100,55k,GB,Scotland
100071620,genos_100.txt,100,100,55k,GB,Scotland
100071630,genos_100.txt,100,100,55k,GB,Scotland
100071660,genos_100.txt,100,100,55k,GB,Scotland
100208020,genos_100.txt,100,100,55k,GB,Scotland
100320120,genos_100.txt,100,100,55k,GB,Scotland
100320630,genos_100.txt,100,100,55k,GB,Scotland
100320870,genos_100.txt,100,100,55k,GB,Scotland
100321050,genos_100.txt,100,100,55k,GB,Scotland
100331000,genos_100.txt,100,100,55k,GB,Scotland
100331040,genos_100.txt,100,100,55k,GB,Scotland
100331070,genos_100.txt,100,100,55k,GB,Scotland
100331090,genos_100.txt,100,100,55k,GB,Scotland
100331100,genos_100.txt,100,100,55k,GB,Scotland
100331150,genos_100.txt,100,100,55k,GB,Scotland
100331270,genos_100.txt,100,100,55k,GB,Scotland
100331300,genos_100.txt,100,100,55k,GB,Scotland
100331340,genos_100.txt,100,100,55k,GB,Scotland
100331350,genos_100.txt,100,100,55k,GB,Scotland
100331440,genos_100.txt,100,100,55k,GB,Scotland
100331450,genos_100.txt,100,100,55k,GB,Scotland
100331470,genos_100.txt,100,100,55k,GB,Scotland
100331490,genos_100.txt,100,100,55k,GB,Scotland
100331510,genos_100.txt,100,100,55k,GB,Scotland
101182440,genos_101.txt,101,101,55k,GB,England
101182441,genos_101.txt,101,101,55k,GB,England
101182450,genos_101.txt,101,101,55k,GB,England
101182460,genos_101.txt,101,101,55k,GB,England
101182470,genos_101.txt,101,101,55k,GB,England
101182480,genos_101.txt,101,101,55k,GB,England
