'ID_number','RawData_file','First3','Breedcode','Chip','Region','Country','Name','numSnP',' in_55k'
999111003,'genos_999111.txt',121,900,'3k','NWD','Texas','Willie Nelson-GMSR1',2430,' N'
999111004,'genos_999111.txt',121,900,'3k','NWD','Texas','282 / 6',2430,' N'
999111009,'genos_999111.txt',121,900,'3k','NWD','Texas','N9015',2430,' N'
999111011,'genos_999111.txt',121,900,'3k','NWD','Texas','N9080',2430,' N'
999111013,'genos_999111.txt',121,900,'3k','NWD','Texas','N8026',2430,' N'
999111016,'genos_999111.txt',121,900,'3k','NWD','Texas','N0068',2430,' N'
999111019,'genos_999111.txt',121,900,'3k','NWD','Texas','Chico Starr',2430,' N'
999111022,'genos_999111.txt',121,900,'3k','NWD','Texas','WR2305',2430,' N'
999111023,'genos_999111.txt',121,900,'3k','NWD','Texas','TOREO',2430,' N'
999111027,'genos_999111.txt',121,900,'3k','NWD','Texas','N0020',2430,' N'
999111031,'genos_999111.txt',121,900,'3k','NWD','Texas','N3042',2430,' N'
999111035,'genos_999111.txt',121,900,'3k','NWD','Texas','Dublin Dun',2430,' N'
999111037,'genos_999111.txt',121,900,'3k','NWD','Texas','Mr T "Trevor"',2430,' N'
999111043,'genos_999111.txt',121,900,'3k','NWD','Texas','Herd #2',2430,' N'
999111046,'genos_999111.txt',121,900,'3k','NWD','Texas','N6080',2430,' N'
999111052,'genos_999111.txt',121,900,'3k','NWD','Texas','N9088',2430,' N'
999111056,'genos_999111.txt',121,900,'3k','NWD','Texas','N8110',2430,' N'
999111060,'genos_999111.txt',121,900,'3k','NWD','Texas','N6071',2430,' N'
999111061,'genos_999111.txt',121,900,'3k','NWD','Texas','N6039',2430,' N'
999111071,'genos_999111.txt',121,900,'3k','NWD','Texas','6124',2430,' N'
999111072,'genos_999111.txt',121,900,'3k','NWD','Texas','Santonio Yates',2430,' N'
999111073,'genos_999111.txt',121,900,'3k','NWD','Texas','N6026',2430,' N'
999111076,'genos_999111.txt',121,900,'3k','NWD','Texas','Sample 2',2430,' N'
999111078,'genos_999111.txt',121,900,'3k','NWD','Texas','N0092',2430,' N'
999111079,'genos_999111.txt',121,900,'3k','NWD','Texas','Sample 1',2430,' N'
999111000,'genos_999111.txt',121,900,'6k','NWD','Texas','3-T Woody GW',5935,' N'
999111001,'genos_999111.txt',121,900,'6k','NWD','Texas','Flower',5935,' N'
999111002,'genos_999111.txt',121,900,'6k','NWD','Texas','3-T Java Girl GW',5935,' N'
999111005,'genos_999111.txt',121,900,'6k','NWD','Texas','Rose',5935,' N'
999111006,'genos_999111.txt',121,900,'6k','NWD','Texas','DK 64',5935,' N'
999111007,'genos_999111.txt',121,900,'6k','NWD','Texas','Pancho Yates',5935,' N'
999111008,'genos_999111.txt',121,900,'6k','NWD','Texas','Ms America 0/39',5935,' N'
999111010,'genos_999111.txt',121,900,'6k','NWD','Texas','407/10',5935,' N'
999111014,'genos_999111.txt',121,900,'6k','NWD','Texas','Twisty Paint Yates 82/5',5935,' N'
999111015,'genos_999111.txt',121,900,'6k','NWD','Texas','Miss BBR 29/0',5935,' N'
999111017,'genos_999111.txt',121,900,'6k','NWD','Texas','3-T Lukes Chief',5935,' N'
999111018,'genos_999111.txt',121,900,'6k','NWD','Texas','TEXAS',5935,' N'
999111020,'genos_999111.txt',121,900,'6k','NWD','Texas','Mimosa/Posie',5935,' N'
999111021,'genos_999111.txt',121,900,'6k','NWD','Texas','Betty',5935,' N'
999111024,'genos_999111.txt',121,900,'6k','NWD','Texas','ROY',5935,' N'
999111025,'genos_999111.txt',121,900,'6k','NWD','Texas','Mora Mexicanna',5935,' N'
999111026,'genos_999111.txt',121,900,'6k','NWD','Texas','Ruano/Shakespeare',5935,' N'
999111028,'genos_999111.txt',121,900,'6k','NWD','Texas','Rain',5935,' N'
999111029,'genos_999111.txt',121,900,'6k','NWD','Texas','3-T Sandy GW',5935,' N'
999111030,'genos_999111.txt',121,900,'6k','NWD','Texas','Yellowbull',5935,' N'
999111032,'genos_999111.txt',121,900,'6k','NWD','Texas','HECK',5935,' N'
