'code','lat','perc'
'CI',49.25,0.92
'CI',49.47,0.98
'GB',55.95,0.99
'GB',52.00,0.99
'GB',52.00,0.98
'GB',55.95,0.97
'GB',52.00,0.99
'GB',52.00,0.99
'GB',55.95,0.99
'GB',52.00,0.98
'GB',51.50,0.97
'GB',52.00,0.98
'GB',52.00,0.95
'GB',53.00,0.99
'GB',52.00,0.96
'GB',55.95,0.96
'GB',53.00,0.98
'GB',52.00,0.99
'N.Eur',47.00,0.99
'N.Eur',50.83,0.98
'N.Eur',51.00,0.97
'N.Eur',52.50,0.96
'N.Eur',64.00,0.98
'N.Eur',47.00,0.95
'N.Eur',62.00,0.97
'S.Eur',46.00,0.98
'S.Eur',46.00,0.96
'S.Eur',46.00,0.97
'S.Eur',42.83,0.88
'S.Eur',46.00,0.99
'S.Eur',42.83,0.95
'S.Eur',42.83,0.88
'S.Eur',46.00,0.97
'S.Eur',46.00,0.98
'S.Eur',42.83,0.86
'S.Eur',46.00,0.97
